incident_severity,umbrella_limit,witnesses,vehicle_claim,incident_city,total_claim_amount,insured_hobbies,authorities_contacted,property_claim,incident_state,policy_state,bodily_injuries,policy_csl,insured_sex,injury_claim,auto_make,number_of_vehicles_involved,police_report_available,incident_type,insured_relationship,fraud_reported
Total Loss,4000000,0,34160,Hillsdale,42700,chess,Ambulance,4270,NC,OH,0,250/500,MALE,4270,Saab,4,NO,Multi-vehicle Collision,wife,Y
Major Damage,0,3,29280,Hillsdale,40260,reading,Ambulance,7320,SC,IN,1,250/500,MALE,3660,Accura,1,NO,Single Vehicle Collision,wife,Y
Major Damage,0,0,35000,Columbus,50000,polo,Fire,10000,NY,OH,2,500/1000,MALE,5000,Chevrolet,1,NO,Single Vehicle Collision,wife,N
Trivial Damage,5000000,1,2880,Riverwood,3840,golf,,320,NY,IN,0,250/500,FEMALE,640,Saab,1,NO,Parked Car,husband,N
Minor Damage,0,2,61650,Springfield,95900,video-games,Police,20550,WV,IL,0,250/500,MALE,13700,Saab,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,3,37440,Northbend,56160,bungie-jumping,Ambulance,12480,WV,IN,1,250/500,MALE,6240,Audi,3,YES,Multi-vehicle Collision,other-relative,N
Major Damage,0,3,45840,Riverwood,63030,sleeping,Police,11460,SC,OH,2,100/300,MALE,5730,Saab,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,5000000,2,46160,Riverwood,63470,skydiving,Police,11540,NY,IL,2,250/500,FEMALE,5770,BMW,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,2,32320,Columbus,44440,movies,Police,4040,WV,IL,0,250/500,FEMALE,8080,BMW,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,1,4200,Northbrook,6600,paintball,Police,1200,WV,IN,1,250/500,MALE,1200,Jeep,1,NO,Parked Car,husband,N
Minor Damage,0,0,57900,Northbrook,77200,kayaking,Ambulance,9650,WV,OH,2,250/500,MALE,9650,Ford,3,YES,Multi-vehicle Collision,husband,N
Total Loss,0,0,45600,Springfield,57000,reading,Other,11400,WV,OH,0,100/300,FEMALE,0,Audi,3,YES,Multi-vehicle Collision,husband,N
Trivial Damage,0,1,2100,Riverwood,2700,movies,Police,300,WV,OH,2,250/500,FEMALE,300,Honda,1,NO,Vehicle Theft,wife,N
Total Loss,5000000,1,34400,Hillsdale,47300,kayaking,Police,8600,WV,OH,2,250/500,MALE,4300,Volkswagen,1,YES,Single Vehicle Collision,unmarried,N
Major Damage,0,3,40080,Arlington,55110,sleeping,Other,10020,VA,OH,2,250/500,FEMALE,5010,Nissan,1,NO,Single Vehicle Collision,unmarried,N
Trivial Damage,0,0,3360,Springfield,4320,reading,Police,480,SC,IN,1,500/1000,FEMALE,480,Mercedes,1,NO,Vehicle Theft,husband,N
Total Loss,0,2,51570,Arlington,68760,video-games,Police,5730,VA,OH,2,250/500,FEMALE,11460,Saab,3,NO,Multi-vehicle Collision,husband,Y
Major Damage,9000000,1,52080,Arlington,74400,paintball,Other,7440,WV,IL,2,250/500,FEMALE,14880,BMW,2,NO,Multi-vehicle Collision,husband,Y
Major Damage,0,1,28240,Hillsdale,35300,base-jumping,Fire,3530,NY,OH,2,250/500,FEMALE,3530,Mercedes,4,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,3,1680,Springfield,2640,camping,,480,NY,IL,1,500/1000,MALE,480,Volkswagen,1,NO,Parked Car,wife,N
Total Loss,0,1,46300,Columbus,60190,cross-fit,Ambulance,9260,SC,IL,1,250/500,MALE,4630,Mercedes,3,NO,Multi-vehicle Collision,unmarried,Y
Major Damage,0,3,30240,Northbend,41580,exercise,Fire,7560,NY,IL,1,500/1000,FEMALE,3780,Chevrolet,3,NO,Multi-vehicle Collision,own-child,Y
Minor Damage,0,0,46800,Columbus,58500,cross-fit,Ambulance,0,NY,IN,0,250/500,FEMALE,11700,Accura,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,3,59490,Riverwood,79320,movies,Fire,6610,SC,IN,2,500/1000,FEMALE,13220,Nissan,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,67590,Arlington,82610,chess,Ambulance,7510,NY,OH,0,100/300,FEMALE,7510,Ford,1,NO,Single Vehicle Collision,husband,Y
Total Loss,0,3,45850,Hillsdale,78600,video-games,Ambulance,19650,SC,OH,1,100/300,FEMALE,13100,Dodge,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,0,2,39970,Columbus,51390,chess,Ambulance,5710,SC,OH,1,100/300,MALE,5710,Volkswagen,1,NO,Single Vehicle Collision,husband,Y
Major Damage,0,0,56160,Springfield,70200,exercise,Ambulance,7020,NC,IN,1,500/1000,MALE,7020,Ford,1,NO,Single Vehicle Collision,other-relative,Y
Minor Damage,0,1,2940,Riverwood,4900,base-jumping,,1470,SC,IL,2,250/500,MALE,490,Jeep,1,NO,Parked Car,own-child,N
Major Damage,0,3,49860,Hillsdale,66480,chess,Other,11080,PA,OH,1,250/500,FEMALE,5540,Saab,3,NO,Multi-vehicle Collision,own-child,Y
Major Damage,5000000,1,36640,Riverwood,50380,reading,Fire,9160,NC,OH,2,500/1000,MALE,4580,Chevrolet,1,NO,Single Vehicle Collision,own-child,Y
Major Damage,0,2,44550,Columbus,64350,paintball,Fire,9900,SC,IL,0,500/1000,FEMALE,9900,Mercedes,1,NO,Single Vehicle Collision,wife,N
Major Damage,5000000,3,38780,Springfield,55400,hiking,Ambulance,11080,NC,IN,2,250/500,MALE,5540,Chevrolet,3,YES,Multi-vehicle Collision,other-relative,Y
Total Loss,0,2,34930,Columbus,49900,basketball,Other,9980,NY,OH,2,100/300,MALE,4990,Dodge,1,YES,Single Vehicle Collision,wife,N
Minor Damage,4000000,3,49920,Northbrook,74880,golf,Ambulance,12480,WV,OH,0,500/1000,MALE,12480,Accura,3,YES,Multi-vehicle Collision,other-relative,N
Minor Damage,0,0,73260,Northbend,105820,exercise,Other,16280,NY,OH,0,250/500,FEMALE,16280,Audi,1,YES,Single Vehicle Collision,husband,N
Trivial Damage,0,0,5200,Northbend,7150,golf,Police,650,PA,IN,1,250/500,MALE,1300,Volkswagen,1,YES,Vehicle Theft,own-child,N
Total Loss,0,0,33480,Northbrook,55800,dancing,Ambulance,11160,SC,IN,0,500/1000,MALE,11160,Dodge,1,NO,Single Vehicle Collision,own-child,N
Trivial Damage,0,3,3710,Riverwood,5830,kayaking,,1060,NY,OH,1,100/300,MALE,1060,Dodge,1,YES,Parked Car,other-relative,N
Major Damage,0,1,51540,Riverwood,85900,polo,Ambulance,17180,WV,OH,2,100/300,FEMALE,17180,Suburu,1,NO,Single Vehicle Collision,unmarried,Y
Minor Damage,0,3,4740,Columbus,7110,base-jumping,Police,1580,OH,OH,2,500/1000,MALE,790,Accura,1,NO,Parked Car,other-relative,N
Total Loss,0,0,26880,Columbus,36960,kayaking,Fire,3360,WV,IL,0,250/500,MALE,6720,Chevrolet,3,YES,Multi-vehicle Collision,other-relative,N
Minor Damage,0,0,51520,Northbrook,64400,movies,Police,6440,VA,OH,2,250/500,FEMALE,6440,Dodge,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,3,1440,Northbend,1920,sleeping,,0,NC,OH,1,250/500,MALE,480,Chevrolet,1,YES,Parked Car,unmarried,N
Major Damage,0,1,62640,Northbend,86130,polo,Police,7830,SC,IN,0,500/1000,MALE,15660,Suburu,1,YES,Single Vehicle Collision,not-in-family,Y
Major Damage,5000000,3,59760,Northbrook,82170,cross-fit,Fire,7470,VA,IL,2,250/500,FEMALE,14940,Chevrolet,1,NO,Single Vehicle Collision,other-relative,Y
Major Damage,0,0,35210,Hillsdale,50300,camping,Fire,5030,WV,IN,1,100/300,FEMALE,10060,Suburu,1,YES,Single Vehicle Collision,own-child,Y
Major Damage,0,0,30940,Riverwood,44200,camping,Police,8840,SC,IN,0,250/500,FEMALE,4420,Suburu,1,NO,Single Vehicle Collision,husband,N
Major Damage,0,2,54540,Northbrook,66660,polo,Ambulance,6060,VA,IN,2,100/300,FEMALE,6060,Toyota,1,YES,Single Vehicle Collision,other-relative,N
Total Loss,0,3,56960,Riverwood,78320,bungie-jumping,Ambulance,14240,SC,OH,2,250/500,FEMALE,7120,Saab,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,1,72720,Columbus,105040,skydiving,Fire,16160,WV,IN,0,250/500,FEMALE,16160,Dodge,1,NO,Single Vehicle Collision,wife,N
Minor Damage,6000000,1,40560,Hillsdale,50700,basketball,Fire,5070,NY,IN,2,250/500,MALE,5070,Accura,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,1,34140,Northbend,51210,exercise,Fire,5690,WV,IL,1,100/300,FEMALE,11380,Jeep,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,1,34560,Hillsdale,51840,dancing,Fire,8640,SC,OH,2,100/300,MALE,8640,Volkswagen,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,3,42240,Riverwood,52800,exercise,Ambulance,5280,NC,IL,2,500/1000,FEMALE,5280,Nissan,3,YES,Multi-vehicle Collision,husband,N
Minor Damage,0,0,32200,Springfield,55200,kayaking,Fire,13800,WV,OH,0,500/1000,FEMALE,9200,Honda,1,YES,Single Vehicle Collision,own-child,N
Minor Damage,0,3,6300,Riverwood,9100,camping,,1400,WV,IN,0,100/300,MALE,1400,Chevrolet,1,NO,Vehicle Theft,not-in-family,N
Minor Damage,0,3,47320,Riverwood,67600,reading,Other,6760,WV,IN,1,250/500,FEMALE,13520,Suburu,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,6000000,2,27200,Columbus,40800,golf,Other,6800,NC,OH,1,250/500,MALE,6800,BMW,1,NO,Single Vehicle Collision,not-in-family,N
Major Damage,0,1,58500,Springfield,84500,board-games,Other,13000,WV,IN,2,250/500,MALE,13000,Volkswagen,3,YES,Multi-vehicle Collision,not-in-family,Y
Major Damage,5000000,2,52080,Arlington,71610,hiking,Other,6510,SC,IN,2,500/1000,MALE,13020,Toyota,3,YES,Multi-vehicle Collision,husband,Y
Major Damage,0,2,42420,Arlington,60600,yachting,Other,12120,SC,IN,0,250/500,MALE,6060,Dodge,4,NO,Multi-vehicle Collision,own-child,Y
Major Damage,0,3,54160,Riverwood,81240,reading,Fire,20310,NC,IL,2,100/300,MALE,6770,Mercedes,3,NO,Multi-vehicle Collision,unmarried,Y
Total Loss,0,3,20510,Springfield,29300,bungie-jumping,Fire,5860,WV,OH,0,250/500,FEMALE,2930,Audi,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,0,1,55600,Northbend,76450,skydiving,Fire,13900,WV,IL,1,500/1000,FEMALE,6950,Dodge,3,YES,Multi-vehicle Collision,own-child,N
Major Damage,0,3,34580,Northbrook,49400,cross-fit,Fire,4940,NY,IL,0,100/300,FEMALE,9880,Jeep,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,1,57610,Northbrook,90530,kayaking,Ambulance,16460,SC,IL,0,100/300,FEMALE,16460,Ford,1,NO,Single Vehicle Collision,wife,N
Minor Damage,5000000,1,5840,Northbrook,8030,movies,Police,730,WV,OH,2,500/1000,FEMALE,1460,Mercedes,1,NO,Vehicle Theft,not-in-family,N
Minor Damage,0,0,51120,Columbus,63900,movies,Fire,6390,NY,IL,0,100/300,FEMALE,6390,Accura,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,2,28980,Northbend,38640,golf,Fire,4830,NC,IL,0,250/500,MALE,4830,Chevrolet,4,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,1,27660,Columbus,41490,movies,Other,4610,NY,IN,1,100/300,MALE,9220,Mercedes,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,0,57520,Springfield,79090,hiking,Fire,7190,VA,IN,2,100/300,FEMALE,14380,Nissan,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,0,0,61530,Springfield,87900,cross-fit,Police,8790,WV,IL,0,100/300,MALE,17580,Dodge,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,3,42720,Columbus,53400,yachting,Ambulance,5340,WV,IL,2,500/1000,MALE,5340,Jeep,1,YES,Single Vehicle Collision,husband,N
Total Loss,0,3,33110,Springfield,52030,basketball,Fire,9460,SC,OH,2,250/500,MALE,9460,Accura,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,2,59680,Arlington,82060,bungie-jumping,Ambulance,7460,VA,IN,0,250/500,MALE,14920,Saab,1,NO,Single Vehicle Collision,wife,N
Minor Damage,0,3,32240,Northbrook,48360,hiking,Ambulance,8060,NY,OH,0,250/500,FEMALE,8060,Nissan,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,1,34860,Hillsdale,52290,kayaking,Other,11620,NY,OH,2,250/500,FEMALE,5810,Nissan,3,NO,Multi-vehicle Collision,unmarried,N
Major Damage,5000000,3,43400,Arlington,68200,paintball,Police,12400,SC,IL,0,100/300,MALE,12400,Jeep,3,NO,Multi-vehicle Collision,wife,Y
Major Damage,6000000,1,40500,Columbus,60750,basketball,Other,6750,NY,IL,2,100/300,MALE,13500,Jeep,3,NO,Multi-vehicle Collision,wife,Y
Major Damage,0,2,41720,Arlington,65560,paintball,Fire,11920,SC,IN,0,500/1000,FEMALE,11920,Volkswagen,3,YES,Multi-vehicle Collision,wife,Y
Minor Damage,0,3,44730,Arlington,70290,basketball,Police,12780,NY,IN,1,500/1000,FEMALE,12780,Mercedes,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,0,35000,Columbus,45000,hiking,Ambulance,5000,SC,OH,2,100/300,FEMALE,5000,Suburu,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,1,43260,Riverwood,61800,sleeping,Fire,6180,VA,IL,2,500/1000,FEMALE,12360,Suburu,3,NO,Multi-vehicle Collision,other-relative,N
Major Damage,0,0,46960,Columbus,64570,movies,Ambulance,11740,NY,IL,0,100/300,FEMALE,5870,Jeep,3,NO,Multi-vehicle Collision,husband,N
Minor Damage,0,0,49350,Springfield,70500,reading,Other,14100,VA,IL,2,100/300,FEMALE,7050,Suburu,1,YES,Single Vehicle Collision,unmarried,N
Total Loss,0,1,34740,Northbrook,57900,movies,Police,5790,SC,IL,2,100/300,MALE,17370,Audi,3,YES,Multi-vehicle Collision,other-relative,N
Minor Damage,0,0,42080,Northbrook,57860,video-games,Fire,10520,WV,IL,1,250/500,FEMALE,5260,Volkswagen,3,NO,Multi-vehicle Collision,own-child,N
Minor Damage,0,1,25200,Northbrook,37800,polo,Fire,4200,VA,IN,1,100/300,MALE,8400,Chevrolet,1,NO,Single Vehicle Collision,husband,N
Total Loss,0,3,50640,Northbend,63300,hiking,Ambulance,6330,NY,OH,1,500/1000,FEMALE,6330,Toyota,1,YES,Single Vehicle Collision,own-child,N
Total Loss,0,1,30940,Northbrook,44200,paintball,Ambulance,4420,WV,IN,0,250/500,FEMALE,8840,Saab,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,0,24640,Arlington,31680,yachting,Police,3520,WV,IL,1,250/500,MALE,3520,Toyota,4,YES,Multi-vehicle Collision,husband,N
Trivial Damage,0,2,70,Northbrook,100,kayaking,Police,20,WV,IN,1,100/300,FEMALE,10,Audi,1,NO,Parked Car,not-in-family,N
Minor Damage,0,1,43820,Columbus,56340,bungie-jumping,Fire,6260,WV,IN,2,100/300,FEMALE,6260,Volkswagen,1,NO,Single Vehicle Collision,other-relative,N
Total Loss,0,0,57060,Springfield,69740,skydiving,Police,6340,NC,IN,0,100/300,FEMALE,6340,Dodge,3,YES,Multi-vehicle Collision,own-child,N
Total Loss,0,2,40320,Springfield,60480,exercise,Police,15120,WV,IL,2,100/300,MALE,5040,Volkswagen,3,YES,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,1,60660,Hillsdale,80880,skydiving,Police,13480,NC,IN,2,500/1000,FEMALE,6740,Nissan,3,NO,Multi-vehicle Collision,wife,N
Total Loss,0,2,35920,Hillsdale,49390,dancing,Fire,4490,WV,IN,1,250/500,FEMALE,8980,Suburu,1,YES,Single Vehicle Collision,not-in-family,N
Minor Damage,0,3,46240,Riverwood,69360,video-games,Ambulance,11560,NC,IN,0,100/300,FEMALE,11560,Dodge,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,1,2380,Springfield,3740,board-games,,680,NY,OH,0,500/1000,FEMALE,680,Chevrolet,1,NO,Vehicle Theft,other-relative,N
Trivial Damage,0,1,3680,Hillsdale,5060,bungie-jumping,,920,NY,IL,0,250/500,MALE,460,Nissan,1,NO,Parked Car,husband,N
Total Loss,0,0,26080,Columbus,35860,chess,Police,6520,WV,IL,0,500/1000,FEMALE,3260,BMW,3,YES,Multi-vehicle Collision,wife,Y
Major Damage,0,1,38500,Columbus,50050,cross-fit,Ambulance,3850,NY,IN,2,100/300,MALE,7700,Ford,3,NO,Multi-vehicle Collision,husband,Y
Minor Damage,0,0,42960,Northbend,59070,dancing,Fire,5370,NY,IL,0,500/1000,MALE,10740,Toyota,4,NO,Multi-vehicle Collision,unmarried,N
Minor Damage,0,2,22120,Riverwood,28440,board-games,Fire,3160,SC,IN,1,500/1000,MALE,3160,Dodge,3,NO,Multi-vehicle Collision,husband,N
Major Damage,0,1,28980,Springfield,45540,hiking,Fire,8280,OH,IL,2,250/500,FEMALE,8280,Honda,1,YES,Single Vehicle Collision,wife,Y
Minor Damage,0,0,27090,Arlington,38700,reading,Fire,3870,VA,IN,0,100/300,FEMALE,7740,Volkswagen,1,YES,Single Vehicle Collision,not-in-family,N
Trivial Damage,0,1,4240,Northbrook,5830,paintball,,530,SC,OH,2,250/500,MALE,1060,Nissan,1,YES,Parked Car,other-relative,N
Total Loss,7000000,2,42930,Northbend,57240,cross-fit,Other,9540,NY,IL,0,500/1000,FEMALE,4770,BMW,1,NO,Single Vehicle Collision,husband,Y
Total Loss,0,3,33600,Riverwood,46200,exercise,Police,8400,VA,OH,0,100/300,MALE,4200,Suburu,3,NO,Multi-vehicle Collision,husband,N
Total Loss,0,1,46160,Columbus,57700,kayaking,Ambulance,5770,NY,IN,0,100/300,FEMALE,5770,Toyota,1,NO,Single Vehicle Collision,wife,N
Minor Damage,7000000,0,42120,Northbrook,56160,hiking,Fire,9360,WV,IL,2,250/500,MALE,4680,Saab,3,NO,Multi-vehicle Collision,not-in-family,N
Total Loss,7000000,3,33300,Columbus,44400,movies,Fire,5550,WV,IN,0,250/500,MALE,5550,Jeep,3,YES,Multi-vehicle Collision,unmarried,N
Major Damage,4000000,3,67440,Hillsdale,92730,reading,Ambulance,8430,NY,IN,2,100/300,MALE,16860,Mercedes,1,NO,Single Vehicle Collision,own-child,Y
Minor Damage,0,1,21490,Northbrook,30700,paintball,Fire,6140,NC,OH,0,250/500,FEMALE,3070,Toyota,1,YES,Single Vehicle Collision,not-in-family,N
Major Damage,4000000,0,39620,Northbrook,56600,yachting,Fire,5660,NY,OH,2,250/500,FEMALE,11320,Toyota,1,NO,Single Vehicle Collision,unmarried,N
Trivial Damage,0,1,2640,Hillsdale,3960,dancing,,660,VA,IN,0,500/1000,FEMALE,660,Audi,1,NO,Parked Car,own-child,N
Minor Damage,0,3,24360,Arlington,34800,video-games,Police,6960,SC,IL,0,250/500,MALE,3480,Accura,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,0,63600,Riverwood,79500,kayaking,Other,7950,NY,IN,2,250/500,FEMALE,7950,Chevrolet,3,YES,Multi-vehicle Collision,not-in-family,N
Total Loss,3000000,2,44800,Arlington,56000,basketball,Police,5600,NY,IN,2,250/500,FEMALE,5600,Chevrolet,1,NO,Single Vehicle Collision,other-relative,N
Minor Damage,0,0,56980,Arlington,73260,chess,Ambulance,0,NC,IN,1,250/500,FEMALE,16280,Volkswagen,1,YES,Single Vehicle Collision,not-in-family,Y
Trivial Damage,0,3,3600,Arlington,4950,base-jumping,,450,WV,OH,2,250/500,MALE,900,Toyota,1,YES,Parked Car,unmarried,N
Minor Damage,0,1,33600,Hillsdale,48000,kayaking,Ambulance,9600,WV,IN,0,500/1000,MALE,4800,Saab,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,1,36540,Arlington,52200,dancing,Fire,5220,SC,IN,0,250/500,MALE,10440,Nissan,1,YES,Single Vehicle Collision,wife,N
Minor Damage,0,3,49200,Springfield,73800,dancing,Ambulance,12300,NY,IN,2,250/500,FEMALE,12300,Audi,3,NO,Multi-vehicle Collision,unmarried,N
Total Loss,0,2,54740,Northbend,78200,base-jumping,Fire,7820,NC,IL,1,250/500,FEMALE,15640,Audi,1,NO,Single Vehicle Collision,other-relative,N
Major Damage,0,3,32200,Northbend,55200,bungie-jumping,Ambulance,9200,VA,IN,2,250/500,MALE,13800,Saab,1,NO,Single Vehicle Collision,husband,Y
Total Loss,0,2,44380,Northbend,57060,kayaking,Other,6340,NY,IL,0,500/1000,FEMALE,6340,Ford,3,YES,Multi-vehicle Collision,own-child,N
Minor Damage,0,3,3640,Arlington,4680,dancing,,520,WV,OH,0,250/500,FEMALE,520,Chevrolet,1,YES,Vehicle Theft,husband,N
Minor Damage,4000000,0,42480,Hillsdale,53100,cross-fit,Ambulance,5310,VA,IN,2,250/500,FEMALE,5310,Accura,1,YES,Single Vehicle Collision,not-in-family,Y
Minor Damage,7000000,2,2560,Springfield,3520,video-games,,320,WV,OH,1,500/1000,FEMALE,640,Accura,1,NO,Vehicle Theft,husband,N
Total Loss,0,1,43740,Riverwood,72900,dancing,Ambulance,14580,VA,IL,0,500/1000,FEMALE,14580,Nissan,3,YES,Multi-vehicle Collision,own-child,N
Total Loss,0,1,49490,Arlington,70700,camping,Police,14140,SC,IN,0,250/500,FEMALE,7070,Volkswagen,1,NO,Single Vehicle Collision,unmarried,N
Minor Damage,0,0,43760,Columbus,60170,bungie-jumping,Other,10940,SC,IL,0,100/300,FEMALE,5470,Nissan,4,NO,Multi-vehicle Collision,wife,N
Major Damage,0,1,54400,Columbus,74800,paintball,Other,6800,SC,IN,1,100/300,MALE,13600,Ford,1,NO,Single Vehicle Collision,husband,Y
Trivial Damage,0,0,2870,Northbend,4100,paintball,Police,410,WV,IL,2,250/500,MALE,820,Chevrolet,1,NO,Vehicle Theft,wife,N
Minor Damage,0,3,44720,Columbus,61490,camping,Other,11180,SC,IN,0,250/500,MALE,5590,Dodge,1,NO,Single Vehicle Collision,husband,N
Trivial Damage,0,0,5040,Hillsdale,7200,basketball,,1440,VA,IL,0,250/500,MALE,720,Audi,1,NO,Vehicle Theft,own-child,N
Minor Damage,0,0,32800,Arlington,45100,polo,Fire,4100,NY,IN,0,500/1000,FEMALE,8200,Nissan,3,NO,Multi-vehicle Collision,not-in-family,N
Minor Damage,0,3,48480,Northbend,66660,camping,Police,6060,WV,OH,2,250/500,MALE,12120,Honda,1,YES,Single Vehicle Collision,not-in-family,N
Major Damage,0,2,53480,Northbrook,76400,basketball,Police,7640,NC,OH,2,500/1000,FEMALE,15280,Volkswagen,1,YES,Single Vehicle Collision,not-in-family,Y
Total Loss,0,1,37100,Riverwood,58300,kayaking,Ambulance,10600,PA,IN,1,250/500,FEMALE,10600,Ford,1,NO,Single Vehicle Collision,not-in-family,N
Total Loss,0,1,41680,Riverwood,57310,skydiving,Police,10420,SC,IL,1,100/300,FEMALE,5210,Volkswagen,1,NO,Single Vehicle Collision,husband,N
Minor Damage,0,1,41300,Arlington,53100,movies,Fire,5900,NY,OH,0,500/1000,FEMALE,5900,Suburu,1,NO,Single Vehicle Collision,own-child,N
Total Loss,0,1,52290,Riverwood,74700,paintball,Ambulance,7470,WV,OH,1,250/500,FEMALE,14940,Suburu,3,NO,Multi-vehicle Collision,husband,N
Major Damage,0,2,42350,Riverwood,60500,golf,Fire,6050,SC,OH,2,250/500,FEMALE,12100,Audi,3,NO,Multi-vehicle Collision,own-child,N
Total Loss,0,3,61760,Riverwood,84920,chess,Other,15440,NC,OH,2,250/500,MALE,7720,Jeep,3,NO,Multi-vehicle Collision,unmarried,Y
Total Loss,5000000,0,44400,Northbrook,61050,hiking,Police,11100,PA,IL,2,500/1000,FEMALE,5550,Dodge,1,NO,Single Vehicle Collision,own-child,N
Major Damage,0,0,50240,Hillsdale,69080,movies,Police,6280,NY,IL,2,250/500,MALE,12560,Audi,3,NO,Multi-vehicle Collision,other-relative,Y
Minor Damage,0,3,3420,Arlington,4560,paintball,,380,VA,IN,1,250/500,FEMALE,760,Nissan,1,YES,Vehicle Theft,own-child,N
Total Loss,0,1,45200,Northbend,67800,skydiving,Police,11300,WV,IN,0,250/500,FEMALE,11300,Ford,4,NO,Multi-vehicle Collision,other-relative,N
Minor Damage,0,1,3920,Riverwood,5600,reading,Police,560,SC,OH,1,250/500,MALE,1120,Suburu,1,YES,Vehicle Theft,wife,N
Minor Damage,7000000,2,6300,Northbrook,9000,basketball,,1800,NC,IN,0,500/1000,MALE,900,Mercedes,1,NO,Vehicle Theft,wife,N
Total Loss,0,1,56880,Northbend,85320,kayaking,Police,7110,VA,IN,0,100/300,FEMALE,21330,Nissan,1,YES,Single Vehicle Collision,other-relative,N
Trivial Damage,0,3,4320,Arlington,5940,golf,,1080,NC,IL,0,100/300,FEMALE,540,Audi,1,YES,Vehicle Theft,other-relative,Y
Major Damage,0,1,37360,Arlington,51370,movies,Fire,4670,SC,OH,1,250/500,FEMALE,9340,BMW,3,NO,Multi-vehicle Collision,husband,Y
Major Damage,0,2,36120,Northbrook,51600,reading,Police,5160,SC,OH,2,250/500,MALE,10320,Dodge,1,YES,Single Vehicle Collision,own-child,N
Trivial Damage,0,3,4200,Arlington,5400,golf,,600,SC,OH,0,100/300,FEMALE,600,Chevrolet,1,NO,Parked Car,own-child,N
Minor Damage,0,0,38010,Northbrook,48870,reading,Fire,5430,SC,OH,1,500/1000,MALE,5430,Saab,3,YES,Multi-vehicle Collision,unmarried,N
Minor Damage,0,1,3870,Springfield,5590,reading,Police,860,WV,IN,2,500/1000,FEMALE,860,BMW,1,NO,Vehicle Theft,husband,N
Major Damage,0,2,48090,Springfield,54960,camping,Other,0,NY,IL,0,500/1000,MALE,6870,Toyota,3,NO,Multi-vehicle Collision,wife,Y
Minor Damage,0,3,27860,Northbrook,39800,video-games,Police,3980,VA,OH,1,500/1000,FEMALE,7960,Jeep,3,NO,Multi-vehicle Collision,own-child,N
Major Damage,0,1,43680,Columbus,56160,chess,Ambulance,6240,SC,IN,0,500/1000,FEMALE,6240,Ford,3,NO,Multi-vehicle Collision,own-child,Y
Total Loss,0,3,36890,Hillsdale,52700,golf,Fire,10540,VA,IN,0,100/300,MALE,5270,Toyota,1,NO,Single Vehicle Collision,not-in-family,N
Minor Damage,0,3,53340,Riverwood,68580,base-jumping,Fire,7620,NY,OH,1,500/1000,FEMALE,7620,Jeep,3,NO,Multi-vehicle Collision,not-in-family,N
Major Damage,7000000,2,58410,Springfield,90860,board-games,Ambulance,19470,NY,IN,1,100/300,MALE,12980,Volkswagen,1,YES,Single Vehicle Collision,own-child,Y
Trivial Damage,6000000,3,4560,Northbend,5700,bungie-jumping,Police,570,NC,IL,0,250/500,MALE,570,Saab,1,NO,Parked Car,wife,N
Total Loss,0,0,77670,Hillsdale,94930,golf,Police,8630,NY,IN,2,100/300,MALE,8630,Accura,3,YES,Multi-vehicle Collision,not-in-family,N
Major Damage,0,2,32760,Northbend,46800,video-games,Ambulance,9360,SC,OH,1,250/500,MALE,4680,Audi,1,NO,Single Vehicle Collision,not-in-family,Y
Total Loss,0,3,42240,Northbend,56320,polo,Fire,7040,NY,OH,2,500/1000,FEMALE,7040,Mercedes,3,NO,Multi-vehicle Collision,wife,N
Minor Damage,0,3,60720,Hillsdale,83490,chess,Fire,15180,WV,OH,1,100/300,MALE,7590,Nissan,1,YES,Single Vehicle Collision,husband,N
